"feature_name","count_type","description"
"inpat",NA,"inpat"
"m_X079.9","number of distinct months the feature was observed","PheCode079.9"
"m_X1010","number of distinct months the feature was observed","PheCode1010"
"m_X1010.5","number of distinct months the feature was observed","PheCode1010.5"
"m_X1010.6","number of distinct months the feature was observed","PheCode1010.6"
"m_X1011","number of distinct months the feature was observed","PheCode1011"
"m_X172","number of distinct months the feature was observed","PheCode172"
"m_X173","number of distinct months the feature was observed","PheCode173"
"m_X208","number of distinct months the feature was observed","PheCode208"
"m_X216","number of distinct months the feature was observed","PheCode216"
"m_X250.2","number of distinct months the feature was observed","PheCode250.2"
"m_X261.4","number of distinct months the feature was observed","PheCode261.4"
"m_X271","number of distinct months the feature was observed","PheCode271"
"m_X276.5","number of distinct months the feature was observed","PheCode276.5"
"m_X278","number of distinct months the feature was observed","PheCode278"
"m_X285","number of distinct months the feature was observed","PheCode285"
"m_X290.1","number of distinct months the feature was observed","PheCode290.1"
"m_X292","number of distinct months the feature was observed","PheCode292"
"m_X292.1","number of distinct months the feature was observed","PheCode292.1"
"m_X317","number of distinct months the feature was observed","PheCode317"
"m_X327.4","number of distinct months the feature was observed","PheCode327.4"
"m_X350","number of distinct months the feature was observed","PheCode350"
"m_X350.2","number of distinct months the feature was observed","PheCode350.2"
"m_X351","number of distinct months the feature was observed","PheCode351"
"m_X366","number of distinct months the feature was observed","PheCode366"
"m_X367.4","number of distinct months the feature was observed","PheCode367.4"
"m_X386.2","number of distinct months the feature was observed","PheCode386.2"
"m_X411.4","number of distinct months the feature was observed","PheCode411.4"
"m_X411.8","number of distinct months the feature was observed","PheCode411.8"
"m_X415","number of distinct months the feature was observed","PheCode415"
"m_X416","number of distinct months the feature was observed","PheCode416"
"m_X427.7","number of distinct months the feature was observed","PheCode427.7"
"m_X443.9","number of distinct months the feature was observed","PheCode443.9"
"m_X452","number of distinct months the feature was observed","PheCode452"
"m_X472","number of distinct months the feature was observed","PheCode472"
"m_X476","number of distinct months the feature was observed","PheCode476"
"m_X495","number of distinct months the feature was observed","PheCode495"
"m_X508","number of distinct months the feature was observed","PheCode508"
"m_X509.2","number of distinct months the feature was observed","PheCode509.2"
"m_X509.8","number of distinct months the feature was observed","PheCode509.8"
"m_X512","number of distinct months the feature was observed","PheCode512"
"m_X512.7","number of distinct months the feature was observed","PheCode512.7"
"m_X512.8","number of distinct months the feature was observed","PheCode512.8"
"m_X512.9","number of distinct months the feature was observed","PheCode512.9"
"m_X523.3","number of distinct months the feature was observed","PheCode523.3"
"m_X578.2","number of distinct months the feature was observed","PheCode578.2"
"m_X585.4","number of distinct months the feature was observed","PheCode585.4"
"m_X599.3","number of distinct months the feature was observed","PheCode599.3"
"m_X599.5","number of distinct months the feature was observed","PheCode599.5"
"m_X703","number of distinct months the feature was observed","PheCode703"
"m_X728.7","number of distinct months the feature was observed","PheCode728.7"
"m_X743","number of distinct months the feature was observed","PheCode743"
"m_X745","number of distinct months the feature was observed","PheCode745"
"m_X765","number of distinct months the feature was observed","PheCode765"
"m_X785","number of distinct months the feature was observed","PheCode785"
"m_X796","number of distinct months the feature was observed","PheCode796"
"m_X798","number of distinct months the feature was observed","PheCode798"
"m_X819","number of distinct months the feature was observed","PheCode819"
"m_X840.3","number of distinct months the feature was observed","PheCode840.3"
"m_X871","number of distinct months the feature was observed","PheCode871"
"n_X054","count of new-onset features post-COVID-19 infection per patient","PheCode054"
"n_X070","count of new-onset features post-COVID-19 infection per patient","PheCode070"
"n_X079.9","count of new-onset features post-COVID-19 infection per patient","PheCode079.9"
"n_X1010","count of new-onset features post-COVID-19 infection per patient","PheCode1010"
"n_X1010.3","count of new-onset features post-COVID-19 infection per patient","PheCode1010.3"
"n_X1010.6","count of new-onset features post-COVID-19 infection per patient","PheCode1010.6"
"n_X1011","count of new-onset features post-COVID-19 infection per patient","PheCode1011"
"n_X1015","count of new-onset features post-COVID-19 infection per patient","PheCode1015"
"n_X136","count of new-onset features post-COVID-19 infection per patient","PheCode136"
"n_X165","count of new-onset features post-COVID-19 infection per patient","PheCode165"
"n_X172.1","count of new-onset features post-COVID-19 infection per patient","PheCode172.1"
"n_X173","count of new-onset features post-COVID-19 infection per patient","PheCode173"
"n_X189","count of new-onset features post-COVID-19 infection per patient","PheCode189"
"n_X189.2","count of new-onset features post-COVID-19 infection per patient","PheCode189.2"
"n_X195","count of new-onset features post-COVID-19 infection per patient","PheCode195"
"n_X198","count of new-onset features post-COVID-19 infection per patient","PheCode198"
"n_X228","count of new-onset features post-COVID-19 infection per patient","PheCode228"
"n_X250.2","count of new-onset features post-COVID-19 infection per patient","PheCode250.2"
"n_X250.4","count of new-onset features post-COVID-19 infection per patient","PheCode250.4"
"n_X270.3","count of new-onset features post-COVID-19 infection per patient","PheCode270.3"
"n_X271","count of new-onset features post-COVID-19 infection per patient","PheCode271"
"n_X277","count of new-onset features post-COVID-19 infection per patient","PheCode277"
"n_X278","count of new-onset features post-COVID-19 infection per patient","PheCode278"
