achs|AB0001449
aki|AB0002086
blow|AB0004170
bppv|AB0004401
cat|AB0005063
cf|AB0005701
ckd|AB0006116
cold|AB0006563
copd|AB0006602
csme|AB0007034
cva|AB0007370
cvd|AB0007377
cvs|AB0007393
dm|AB0008523
doe|AB0008696
dry|AB0008947
dts|AB0009055
dx|AB0009156
ecg|AB0009452
ekgs|AB0009812
fits|AB0011195
ha|AB0013458
hc|AB0013706
hr|AB0014776
htn|AB0014980
itch|AB0016229
iv|AB0016278
ldh|AB0017692
mab|AB0018717
mask|AB0018858
mass|AB0018862
mci|AB0019023
o 2|AB0022242
pant|AB0023379
pcl|AB0023606
pe|AB0023778
peel|AB0023814
pnd|AB0024655
pred|AB0025021
ra|AB0025834
rash|AB0025942
rls|AB0026493
rule|AB0027013
sad|AB0027230
sars|AB0027306
scd|AB0027420
scds|AB0027425
shot|AB0027874
sing|AB0027965
snhl|AB0028309
sob|AB0028363
sore|AB0028414
ss|AB0028711
tmj|AB0030308
tw|AB0030993
change in abdominal size/distension|C0000731
abdomen distention|C0000731
abdominal swelling, nos|C0000731
abdomen distension|C0000731
abdominal swelling|C0000731
bloating|C0000731
swelling of the abdomen|C0000731
abdominal distension|C0000731
swelling of abdomen|C0000731
swelling abd|C0000731
swelling abdomen|C0000731
swollen abdomen|C0000731
abdomen distended|C0000731
belly bloating|C0000731
abdominal swellings|C0000731
abdominal distention|C0000731
abdomen swelling|C0000731
distended abdomen|C0000731
abdominal bloating|C0000731
anomaly anomaly congen|C0000768
congenital malformation, unspecified|C0000768
developmental disturbance|C0000768
congenital malformations|C0000768
anomaly congenital|C0000768
developmental abnormality|C0000768
malformations|C0000768
birth defect|C0000768
anomaly|C0000768
developmental malformations|C0000768
congenital malformation, nos|C0000768
abnormal development|C0000768
malformation|C0000768
malformation, nos|C0000768
abnormality, congenital|C0000768
birth defects|C0000768
foetal developmental abnormality|C0000768
abnormality|C0000768
abnormal development, nos|C0000768
anomalous formation, nos|C0000768
scong|C0000768
deformities|C0000768
developmental malformation|C0000768
defects, congenital|C0000768
abnormalities|C0000768
foetal malformation|C0000768
fetal malformation|C0000768
congenital malformation|C0000768
dysmorphism|C0000768
abnormalities, congenital|C0000768
dysmorphisms|C0000768
developmental malformation, nos|C0000768
congenital deformity, nos|C0000768
developmental anomaly|C0000768
cm - congenital malformation|C0000768
congenital defect|C0000768
fetal developmental abnormality|C0000768
congenital defects|C0000768
defect/deformity, congenital|C0000768
developmental anomaly, nos|C0000768
congenital anomalies|C0000768
congenital anomaly nos|C0000768
congenital defect/deformity|C0000768
fetal anomaly|C0000768
congenital deformity nos|C0000768
congenital anatomic abnormality|C0000768
defect, congenital|C0000768
dysgenesis, nos|C0000768
congenital anomaly|C0000768
deformity|C0000768
dysgenesis|C0000768
congenital anomaly, nos|C0000768
congenital defect, nos|C0000768
congenital anatomical abnormality|C0000768
congenital anomaly or birth defect|C0000768
developmental defect|C0000768
congenital abnormality nos|C0000768
congenital abnormality|C0000768
defect, birth|C0000768
congenital deformity|C0000768
congenital abnormalities|C0000768
developmental defect, nos|C0000768
congenital anomalies of fetus|C0000768
congenital abnormality, nos|C0000768
congenital anomaly, unspecified|C0000768
n-acetyl-p-aminophenol|C0000970
4-hydroxyacetanilide|C0000970
acetominophen|C0000970
analgesics acetaminophen|C0000970
paracetamol - chemical|C0000970
paracetamol-containing product|C0000970
paracetamol|C0000970
acetaminophen-containing product|C0000970
paracetamolum|C0000970
p-hydroxy-acetanilid|C0000970
4'-hydroxyacetanilide|C0000970
p-acetamidophenol|C0000970
acetaminophen|C0000970
paracetamol product|C0000970
paractamol|C0000970
4-acetamidophenol|C0000970
acetaminofn|C0000970
hydroxyacetanilide|C0000970
acenol|C0000970
p-acetaminophenol|C0000970
p-acetylaminophenol|C0000970
p-hydroxyacetanilide|C0000970
acetamidophenol|C0000970
adjustment disorder|C0001546
adjustment disorders|C0001546
adjustment disorder, nos|C0001546
brief situational non-psychotic disorder, nos|C0001546
adjustment disorders, unspecified|C0001546
disorders, reactive|C0001546
disorder, adjustment|C0001546
adjustment disorder nos|C0001546
adjustment disorder, unspecified|C0001546
brief situational non-psychotic disorder|C0001546
disorders, adjustment|C0001546
disorder, reactive|C0001546
reactive disorders|C0001546
reactive disorder|C0001546
corticoid preparation, nos|C0001617
adrenal cortex hormone-containing product|C0001617
anacal suppository|C0001617
adrenal cortex hormone|C0001617
cortex hormone, adrenal|C0001617
corticoid|C0001617
adrenocorticosteroids|C0001617
adrenal cortex|C0001617
adrenal cortical hormone|C0001617
adrenal cortex hormones|C0001617
adrenal corticosteroid|C0001617
adrenal cortical hormone, nos|C0001617
adrenal corticosteriods|C0001617
adrenal cortex steroids|C0001617
therapeutic corticosteroid|C0001617
hormones, adrenal cortex|C0001617
adrenal corticosteroids|C0001617
corticoids|C0001617
adrenal cortical hormone-containing product|C0001617
corticosteroid|C0001617
corticosteroids|C0001617
hormone, adrenal cortex|C0001617
corticosteroid and corticosteroid derivative-containing product|C0001617
alcohol, denatured|C0001962
alcohol denatured|C0001962
ethanol|C0001962
alcohol,ethyl|C0001962
thylalkohol|C0001962
ethanol-containing product|C0001962
alcohol etlico|C0001962
alcool thylique|C0001962
drinking alcohol|C0001962
etoh - ethanol|C0001962
ethyl alcohol|C0001962
alcohol, ethyl|C0001962
alkohol|C0001962
alcohol ethyl|C0001962
methylcarbinol|C0001962
thanol|C0001962
hydroxyethane|C0001962
etanol|C0001962
dehydrated ethanol|C0001962
spiritus vini|C0001962
etoh - alcohol|C0001962
1-hydroxyethane|C0001962
absolute ethanol|C0001962
alcohol anhydrous|C0001962
alcohol, grain|C0001962
ethanols|C0001962
alcohol|C0001962
grain alcohol|C0001962
memory loss|C0002622
amnesias|C0002622
amnesia, nos|C0002622
amnesia-memory losses|C0002622
dysmnesia|C0002622
amnesia-memory loss|C0002622
amnesia memory loss|C0002622
memory loss - amnesia|C0002622
loss of memory|C0002622
amnesia|C0002622
memory loss nos|C0002622
amnesia nos|C0002622
lom - loss of memory|C0002622
memory gone|C0002622
memory loss/impairment|C0002622
analgesic preparation|C0002771
pain relievers|C0002771
pain medication|C0002771
pain relieving drugs|C0002771
analgesic|C0002771
painkillers|C0002771
analgesic drugs|C0002771
analgesic agent|C0002771
agents, analgesic|C0002771
anodyne|C0002771
anodynes|C0002771
pain killer drug|C0002771
analgesic agents|C0002771
pain medicines|C0002771
analgesic, nos|C0002771
pain killers|C0002771
analgesics|C0002771
analgesic drug|C0002771
analgesics drug|C0002771
drugs, analgesic|C0002771
pain-relief medication|C0002771
analgesics drugs|C0002771
pain medicine|C0002771
anaphylactic syndrome|C0002792
generalized anaphylaxis|C0002792
anaphylaxis, generalized|C0002792
anaphylactic shock|C0002792
systemic anaphylactic reaction|C0002792
reaction, anaphylactic|C0002792
allergic shock|C0002792
anaphylactic reaction|C0002792
generalised anaphylaxis|C0002792
systemic anaphylaxis|C0002792
anaphylaxis|C0002792
hemoglobin s diseases|C0002895
cells disease sickle|C0002895
sickle-cell anaemia|C0002895
sicklemia|C0002895
sickle-cell anemia|C0002895
cell diseases sickle|C0002895
anemia cells sickle|C0002895
cell disease, sickle|C0002895
sickle-cell anaemia, unspecified|C0002895
sickle cell-hemoglobin ss disease|C0002895
cell disorder, sickle|C0002895
cell diseases, sickle|C0002895
sickle cell-haemoglobin ss disease|C0002895
anemia cell disorders sickle|C0002895
anemia cell disorder sickle|C0002895
anemia sickle cell|C0002895
anemia, sickle cell|C0002895
sickle-cell disease, unspecified|C0002895
anemia hemolytic sickle cell anemia|C0002895
cell sickle syndromes|C0002895
hb s disease|C0002895
syndrome sickle cell|C0002895
cell sickle syndrome|C0002895
hemoglobin s disease|C0002895
anaemia sickle cell|C0002895
sickle-cell disease nos|C0002895
haemoglobin s-s disease|C0002895
herrick|C0002895
sickle cell hemolytic anemia|C0002895
sickle cell diseases|C0002895
cell disorder sickle|C0002895
haemoglobin s disease|C0002895
hb-ss disease|C0002895
sickling disorder due to hemoglobin s|C0002895
sickle-cell disease|C0002895
sickle cell anaemia|C0002895
sickle-cell anemia nos|C0002895
cell disorders, sickle|C0002895
hereditary hemoglobinopathy disorder homozygous for hemoglobin s|C0002895
hemoglobin ss disease|C0002895
herrick's anemia|C0002895
anemia cells sickles|C0002895
hb ss disease|C0002895
anemia hemolytic sickle hb-ss disease|C0002895
disease hb s|C0002895
disease sickle cell|C0002895
drepanocythaemia|C0002895
sickle-cell anemia, unspecified|C0002895
sickle-cell disorders|C0002895
anemia sickle-cell|C0002895
sickle cell disorder|C0002895
drepanocythemia|C0002895
herrick syndrome|C0002895
sickle cell anemias|C0002895
anemia sickle celled|C0002895
hereditary haemoglobinopathy disorder homozygous for haemoglobin s|C0002895
hbs disease|C0002895
sickle-cell disorder nos|C0002895
sickle cell anemia|C0002895
anaemia cell sickle|C0002895
anemias, sickle cell|C0002895
sickle cell disease nos|C0002895
sickling disorder due to haemoglobin s|C0002895
sickle cell disease|C0002895
sickle cell disorders|C0002895
sickle cell syndrome|C0002895
disease, hemoglobin s|C0002895
hemoglobin s-s disease|C0002895
disease sickle-cell|C0002895
pain angina|C0002962
ischaemic chest pain|C0002962
angina syndrome|C0002962
angina pectoris, unspecified|C0002962
angina pectoris syndrome|C0002962
ischemic heart disease - angina|C0002962
angina nos|C0002962
chest pain ischemic|C0002962
anginal syndromes|C0002962
anginal syndrome|C0002962
angor pectoris|C0002962
anginal discomfort|C0002962
anginal pain|C0002962
ischaemic heart disease - angina|C0002962
ischemic heart disease with angina|C0002962
ischaemic heart disease with angina|C0002962
angina of effort|C0002962
angina|C0002962
cardiac angina syndrome|C0002962
cardiac angina|C0002962
angina pain|C0002962
anginas|C0002962
chest pain - cardiac|C0002962
ischemic chest pain|C0002962
angina pectoris|C0002962
ap - angina pectoris|C0002962
stenocardias|C0002962
angina pectoris, nos|C0002962
angina, cardiac|C0002962
stenocardia|C0002962
angina, nos|C0002962
pectoris angina|C0002962
non-steroidal anti-inflammatory agent|C0003211
nonsteroidal anti inflammatory agent|C0003211
nonsteroidal antiinflammatory drug|C0003211
nonsteroidal antiinflammatory drugs|C0003211
nonsteroidal anti-inflammatory drug|C0003211
nonsteroidal antiinflammatory agent|C0003211
nsaid - non-steroidal anti-inflammatory drug|C0003211
agent, nonsteroidal anti-inflammatory|C0003211
agent, non-steroidal anti-inflammatory|C0003211
anti-inflammatory agents, non-steroidal|C0003211
nonsteroidal anti-inflammatory drugs|C0003211
nonsteroidal antiinflammatory agents|C0003211
nonsteroidal anti inflammatory agents|C0003211
non steroidal anti inflammatory agents|C0003211
non steroidal anti inflammatory agent|C0003211
nsaids|C0003211
non-steroidal anti-inflammatory agents|C0003211
non-steroidal anti-inflammatory drug|C0003211
non-steroidal anti-inflammatory agent, nos|C0003211
anti-inflammatory agent, non-steroidal|C0003211
antiinflammatory agents, non steroidal|C0003211
